locus_tag	ftype	gene	EC_number	product
PALMKOPA_00001	CDS	hypothetical protein		
PALMKOPA_00002	CDS	hypothetical protein		
PALMKOPA_00003	CDS	hypothetical protein		
PALMKOPA_00004	CDS	tpx	1.11.1.-	putative thiol peroxidase
PALMKOPA_00005	CDS	valS	6.1.1.9	Valine--tRNA ligase
PALMKOPA_00006	CDS	fpgS	6.3.2.17	Folylpolyglutamate synthase
PALMKOPA_00007	CDS	hypothetical protein		
PALMKOPA_00008	CDS	mreB_1	Rod shape-determining protein MreB	
PALMKOPA_00009	CDS	mreC	Cell shape-determining protein MreC	
PALMKOPA_00010	CDS	mreD	Rod shape-determining protein MreD	
PALMKOPA_00011	CDS	yecS_1	L-cystine transport system permease protein YecS	
PALMKOPA_00012	CDS	glnQ_1	Glutamine transport ATP-binding protein GlnQ	
PALMKOPA_00013	CDS	fliY	L-cystine-binding protein FliY	
PALMKOPA_00014	CDS	hypothetical protein		
PALMKOPA_00015	CDS	albF	3.4.24.-	Putative zinc protease AlbF
PALMKOPA_00016	CDS	rodZ	Cytoskeleton protein RodZ	
PALMKOPA_00017	CDS	pgsA	2.7.8.5	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
PALMKOPA_00018	CDS	cinA	Putative competence-damage inducible protein	
PALMKOPA_00019	CDS	recA	Protein RecA	
PALMKOPA_00020	CDS	rny	3.1.-.-	Ribonuclease Y
PALMKOPA_00021	CDS	mutS	DNA mismatch repair protein MutS	
PALMKOPA_00022	CDS	mutL	DNA mismatch repair protein MutL	
PALMKOPA_00023	CDS	ruvA	3.6.4.12	Holliday junction ATP-dependent DNA helicase RuvA
PALMKOPA_00024	CDS	ruvB	3.6.4.12	Holliday junction ATP-dependent DNA helicase RuvB
PALMKOPA_00025	CDS	tgt	2.4.2.29	Queuine tRNA-ribosyltransferase
PALMKOPA_00026	CDS	hypothetical protein		
PALMKOPA_00027	CDS	nrnA	3.1.-.-	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
PALMKOPA_00028	CDS	cshB	3.6.4.13	DEAD-box ATP-dependent RNA helicase CshB
PALMKOPA_00029	CDS	alaS	6.1.1.7	Alanine--tRNA ligase
PALMKOPA_00030	CDS	hypothetical protein		
PALMKOPA_00031	CDS	yrrK	3.1.-.-	Putative pre-16S rRNA nuclease
PALMKOPA_00032	CDS	hypothetical protein		
PALMKOPA_00033	CDS	rnhC	3.1.26.4	Ribonuclease HIII
PALMKOPA_00034	CDS	hypothetical protein		
PALMKOPA_00035	CDS	mutS2	3.1.-.-	Endonuclease MutS2
PALMKOPA_00036	CDS	trxA_1	Thioredoxin	
PALMKOPA_00037	CDS	clcA_1	H(+)/Cl(-) exchange transporter ClcA	
PALMKOPA_00038	CDS	hypothetical protein		
PALMKOPA_00039	CDS	murI	5.1.1.3	Glutamate racemase
PALMKOPA_00040	CDS	rdgB	3.6.1.9	dITP/XTP pyrophosphatase
PALMKOPA_00041	CDS	hypothetical protein		
PALMKOPA_00042	CDS	ybiV	3.1.3.23	Sugar phosphatase YbiV
PALMKOPA_00043	CDS	ykuT	putative MscS family protein YkuT	
PALMKOPA_00044	CDS	hypothetical protein		
PALMKOPA_00045	CDS	hypothetical protein		
PALMKOPA_00046	CDS	pepQ	3.4.13.9	Xaa-Pro dipeptidase
PALMKOPA_00047	CDS	ccpA_1	Catabolite control protein A	
PALMKOPA_00048	CDS	hypothetical protein		
PALMKOPA_00049	CDS	yebC	putative transcriptional regulatory protein YebC	
PALMKOPA_00050	CDS	mepH_1	3.4.-.-	Murein DD-endopeptidase MepH
PALMKOPA_00051	CDS	arnT	2.4.2.43	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
PALMKOPA_00052	CDS	hypothetical protein		
PALMKOPA_00053	CDS	comGA	ComG operon protein 1	
PALMKOPA_00054	CDS	epsF_1	Type II secretion system protein F	
PALMKOPA_00055	CDS	hin	DNA-invertase hin	
PALMKOPA_00056	CDS	hypothetical protein		
PALMKOPA_00057	CDS	lexA_1	3.4.21.88	LexA repressor
PALMKOPA_00058	CDS	hypothetical protein		
PALMKOPA_00059	CDS	hypothetical protein		
PALMKOPA_00060	CDS	hypothetical protein		
PALMKOPA_00061	CDS	hypothetical protein		
PALMKOPA_00062	CDS	hypothetical protein		
PALMKOPA_00063	CDS	hypothetical protein		
PALMKOPA_00064	CDS	hypothetical protein		
PALMKOPA_00065	CDS	hypothetical protein		
PALMKOPA_00066	CDS	hypothetical protein		
PALMKOPA_00067	CDS	hypothetical protein		
PALMKOPA_00068	CDS	hypothetical protein		
PALMKOPA_00069	CDS	hypothetical protein		
PALMKOPA_00070	CDS	hypothetical protein		
PALMKOPA_00071	CDS	hypothetical protein		
PALMKOPA_00072	CDS	hypothetical protein		
PALMKOPA_00073	CDS	hypothetical protein		
PALMKOPA_00074	CDS	hypothetical protein		
PALMKOPA_00075	CDS	hypothetical protein		
PALMKOPA_00076	CDS	hypothetical protein		
PALMKOPA_00077	CDS	hypothetical protein		
PALMKOPA_00078	CDS	hypothetical protein		
PALMKOPA_00079	CDS	hypothetical protein		
PALMKOPA_00080	CDS	hypothetical protein		
PALMKOPA_00081	CDS	hypothetical protein		
PALMKOPA_00082	CDS	hypothetical protein		
PALMKOPA_00083	CDS	hypothetical protein		
PALMKOPA_00084	CDS	hypothetical protein		
PALMKOPA_00085	CDS	hypothetical protein		
PALMKOPA_00086	CDS	hypothetical protein		
PALMKOPA_00087	CDS	hypothetical protein		
PALMKOPA_00088	CDS	hypothetical protein		
PALMKOPA_00089	CDS	hypothetical protein		
PALMKOPA_00090	CDS	hypothetical protein		
PALMKOPA_00091	CDS	hypothetical protein		
PALMKOPA_00092	CDS	hypothetical protein		
PALMKOPA_00093	CDS	hypothetical protein		
PALMKOPA_00094	CDS	hypothetical protein		
PALMKOPA_00095	CDS	hypothetical protein		
PALMKOPA_00096	CDS	hypothetical protein		
PALMKOPA_00097	CDS	hypothetical protein		
PALMKOPA_00098	CDS	hypothetical protein		
PALMKOPA_00099	CDS	hypothetical protein		
PALMKOPA_00100	CDS	lytE	3.4.-.-	putative peptidoglycan endopeptidase LytE
PALMKOPA_00101	CDS	smc_1	Chromosome partition protein Smc	
PALMKOPA_00102	CDS	hypothetical protein		
PALMKOPA_00103	CDS	hypothetical protein		
PALMKOPA_00104	CDS	hypothetical protein		
PALMKOPA_00105	CDS	hypothetical protein		
PALMKOPA_00106	CDS	hypothetical protein		
PALMKOPA_00107	CDS	hypothetical protein		
PALMKOPA_00108	CDS	hypothetical protein		
PALMKOPA_00109	CDS	hypothetical protein		
PALMKOPA_00110	CDS	3.2.1.-	Autolysin	
PALMKOPA_00111	CDS	hypothetical protein		
PALMKOPA_00112	CDS	hypothetical protein		
PALMKOPA_00113	CDS	hypothetical protein		
PALMKOPA_00114	CDS	hypothetical protein		
PALMKOPA_00115	CDS	hypothetical protein		
PALMKOPA_00116	CDS	hypothetical protein		
PALMKOPA_00117	CDS	hypothetical protein		
PALMKOPA_00118	CDS	hypothetical protein		
PALMKOPA_00119	CDS	hypothetical protein		
PALMKOPA_00120	CDS	hypothetical protein		
PALMKOPA_00121	CDS	ackA	2.7.2.1	Acetate kinase
